mua_ex[1/cm]    mus_ex[1/cm]    mua_em[1/cm]    mus_em[1/cm]    PHD_Int[1/cm2]
1.0000E+00      1.0000E+00      2.9764E+00      3.5938E+02      3.2766E+01
1.0000E+00      1.0000E+00      2.9764E+00      1.0000E+03      3.6849E+01
1.0000E+00      1.0000E+00      4.8329E+00      1.0000E-01      9.5169E+01
1.0000E+00      1.0000E+00      4.8329E+00      2.7826E-01      9.4104E+01
1.0000E+00      1.0000E+00      4.8329E+00      7.7426E-01      9.1302E+01
1.0000E+00      1.0000E+00      4.8329E+00      2.1544E+00      8.4905E+01
1.0000E+00      1.0000E+00      4.8329E+00      5.9948E+00      7.3266E+01
1.0000E+00      1.0000E+00      4.8329E+00      1.6681E+01      5.7927E+01
1.0000E+00      1.0000E+00      4.8329E+00      4.6416E+01      4.3396E+01
1.0000E+00      1.0000E+00      4.8329E+00      1.2915E+02      3.3272E+01
1.0000E+00      1.0000E+00      4.8329E+00      3.5938E+02      2.9637E+01
1.0000E+00      1.0000E+00      4.8329E+00      1.0000E+03      3.2192E+01
1.0000E+00      1.0000E+00      7.8476E+00      1.0000E-01      6.4999E+01
1.0000E+00      1.0000E+00      7.8476E+00      2.7826E-01      6.4560E+01
1.0000E+00      1.0000E+00      7.8476E+00      7.7426E-01      6.3593E+01
1.0000E+00      1.0000E+00      7.8476E+00      2.1544E+00      6.0971E+01
1.0000E+00      1.0000E+00      7.8476E+00      5.9948E+00      5.5492E+01
1.0000E+00      1.0000E+00      7.8476E+00      1.6681E+01      4.6928E+01
1.0000E+00      1.0000E+00      7.8476E+00      4.6416E+01      3.7258E+01
1.0000E+00      1.0000E+00      7.8476E+00      1.2915E+02      2.9484E+01
1.0000E+00      1.0000E+00      7.8476E+00      3.5938E+02      2.6045E+01
1.0000E+00      1.0000E+00      7.8476E+00      1.0000E+03      2.6928E+01
1.0000E+00      1.0000E+00      1.2743E+01      1.0000E-01      4.1305E+01
1.0000E+00      1.0000E+00      1.2743E+01      2.7826E-01      4.2471E+01
1.0000E+00      1.0000E+00      1.2743E+01      7.7426E-01      4.2298E+01
1.0000E+00      1.0000E+00      1.2743E+01      2.1544E+00      4.1431E+01
1.0000E+00      1.0000E+00      1.2743E+01      5.9948E+00      3.9346E+01
1.0000E+00      1.0000E+00      1.2743E+01      1.6681E+01      3.5417E+01
1.0000E+00      1.0000E+00      1.2743E+01      4.6416E+01      3.0021E+01
1.0000E+00      1.0000E+00      1.2743E+01      1.2915E+02      2.4821E+01
1.0000E+00      1.0000E+00      1.2743E+01      3.5938E+02      2.1859E+01
1.0000E+00      1.0000E+00      1.2743E+01      1.0000E+03      2.0863E+01
1.0000E+00      1.0000E+00      2.0691E+01      1.0000E-01      2.5069E+01
1.0000E+00      1.0000E+00      2.0691E+01      2.7826E-01      2.6854E+01
1.0000E+00      1.0000E+00      2.0691E+01      7.7426E-01      2.6587E+01
1.0000E+00      1.0000E+00      2.0691E+01      2.1544E+00      2.6854E+01
1.0000E+00      1.0000E+00      2.0691E+01      5.9948E+00      2.6364E+01
1.0000E+00      1.0000E+00      2.0691E+01      1.6681E+01      2.4929E+01
1.0000E+00      1.0000E+00      2.0691E+01      4.6416E+01      2.2475E+01
1.0000E+00      1.0000E+00      2.0691E+01      1.2915E+02      1.9456E+01
1.0000E+00      1.0000E+00      2.0691E+01      3.5938E+02      1.6984E+01
1.0000E+00      1.0000E+00      2.0691E+01      1.0000E+03      1.4796E+01
1.0000E+00      1.0000E+00      3.3598E+01      1.0000E-01      1.3836E+01
1.0000E+00      1.0000E+00      3.3598E+01      2.7826E-01      1.3800E+01
1.0000E+00      1.0000E+00      3.3598E+01      7.7426E-01      1.6017E+01
1.0000E+00      1.0000E+00      3.3598E+01      2.1544E+00      1.6690E+01
1.0000E+00      1.0000E+00      3.3598E+01      5.9948E+00      1.6798E+01
